Invoice_ID,Customer_ID,Invoice_Date,Payment_Terms_Days,Due_Date,Invoice_Amount,Tax_Amount,Total_Amount,Product_Category,Sales_Channel,Payment_Status,Outstanding_Amount,Days_Overdue,Aging_Bucket,Collection_Status,Customer_Risk_Score,Collection_Agent,Dispute_Flag,Promise_To_Pay_Date,Invoice_Month,Invoice_Year,Quarter,Invoice_Priority
INV0000013,CUST0351,2025-04-20,15,2025-05-05,96668,17400.24,114068.24,Office Supplies,Corporate,Unpaid,114068.24,392,90+,Legal Review,59,Karan,No,2026-06-12,Apr-2025,2025,Q2,Medium
INV0000014,CUST0334,2026-01-11,45,2026-02-25,234224,42160.32,276384.32,Industrial Goods,Distributor,Paid,0,6,0-30,Reminder Sent,55,Amit,Yes,,Jan-2026,2026,Q1,High
INV0000015,CUST0636,2025-09-13,15,2025-09-28,134342,24181.56,158523.56,Office Supplies,Direct,Paid,0,0,0-30,Closed,28,Karan,No,,Sep-2025,2025,Q3,Medium
INV0000016,CUST0274,2024-03-30,60,2024-05-29,139797,25163.46,164960.46,Industrial Goods,Corporate,Paid,0,0,0-30,Closed,5,Karan,Yes,,Mar-2024,2024,Q1,Medium
INV0000017,CUST0273,2025-01-28,45,2025-03-14,287022,51663.96,338685.96,Consumer Goods,Corporate,Paid,0,0,0-30,Closed,76,Neha,No,,Jan-2025,2025,Q1,High
INV0000018,CUST0608,2025-09-20,60,2025-11-19,14971,2694.78,17665.78,Electronics,Direct,Paid,0,11,0-30,Reminder Sent,67,Neha,No,,Sep-2025,2025,Q3,Low
INV0000019,CUST0350,2025-12-30,45,2026-02-13,290088,52215.84,342303.84,Industrial Goods,Distributor,Paid,0,0,0-30,Closed,45,Amit,No,,Dec-2025,2025,Q4,High
INV0000020,CUST0495,2025-07-03,30,2025-08-02,167541,30157.38,197698.38,Consumer Goods,Online,Paid,0,14,0-30,Reminder Sent,84,Rohit,No,,Jul-2025,2025,Q3,Medium
INV0000021,CUST0802,2024-07-26,45,2024-09-09,127776,22999.68,150775.68,Industrial Goods,Direct,Paid,0,0,0-30,Closed,52,Amit,No,,Jul-2024,2024,Q3,Medium
INV0000022,CUST0829,2025-10-23,30,2025-11-22,63650,11457,75107,Consumer Goods,Distributor,Paid,0,0,0-30,Closed,98,Amit,No,,Oct-2025,2025,Q4,Medium
INV0000023,CUST0171,2025-07-30,15,2025-08-14,138601,24948.18,163549.18,Electronics,Direct,Paid,0,15,0-30,Reminder Sent,8,Rohit,No,,Jul-2025,2025,Q3,Medium
INV0000024,CUST0784,2024-10-23,60,2024-12-22,136664,24599.52,161263.52,Software,Online,Paid,0,0,0-30,Closed,93,Rohit,No,,Oct-2024,2024,Q4,Medium
INV0000025,CUST0157,2025-04-05,60,2025-06-04,178409,32113.62,210522.62,Electronics,Direct,Paid,0,0,0-30,Closed,29,Neha,No,,Apr-2025,2025,Q2,High
INV0000026,CUST0832,2024-11-19,30,2024-12-19,48434,8718.12,57152.12,Software,Online,Unpaid,57152.12,529,90+,Legal Review,70,Sneha,No,2026-06-17,Nov-2024,2024,Q4,Low
INV0000027,CUST0818,2025-01-13,45,2025-02-27,297587,53565.66,351152.66,Consumer Goods,Online,Paid,0,49,31-60,Escalated,31,Amit,No,,Jan-2025,2025,Q1,High
INV0000028,CUST0152,2024-08-26,60,2024-10-25,138558,24940.44,163498.44,Software,Online,Paid,0,19,0-30,Escalated,29,Pooja,No,,Aug-2024,2024,Q3,Medium
INV0000029,CUST0146,2026-03-23,30,2026-04-22,166940,30049.2,196989.2,Software,Corporate,Paid,0,3,0-30,Reminder Sent,57,Rohit,No,,Mar-2026,2026,Q1,Medium
INV0000030,CUST0913,2026-04-16,30,2026-05-16,94556,17020.08,111576.08,Office Supplies,Distributor,Paid,0,0,0-30,Closed,69,Rohit,No,,Apr-2026,2026,Q2,Medium
INV0000031,CUST0956,2026-04-26,60,2026-06-25,235370,42366.6,277736.6,Consumer Goods,Corporate,Paid,0,4,0-30,Reminder Sent,57,Pooja,No,,Apr-2026,2026,Q2,High
INV0000032,CUST0394,2026-02-12,60,2026-04-13,157759,28396.62,186155.62,Office Supplies,Corporate,Paid,0,0,0-30,Closed,74,Pooja,No,,Feb-2026,2026,Q1,Medium
INV0000033,CUST0715,2025-08-21,45,2025-10-05,234815,42266.7,277081.7,Software,Distributor,Paid,0,0,0-30,Closed,80,Pooja,No,,Aug-2025,2025,Q3,High
INV0000034,CUST0375,2024-02-21,45,2024-04-06,166370,29946.6,196316.6,Medical Supplies,Direct,Paid,0,8,0-30,Reminder Sent,12,Rohit,No,,Feb-2024,2024,Q1,Medium
INV0000035,CUST0619,2024-06-05,30,2024-07-05,274973,49495.14,324468.14,Office Supplies,Distributor,Paid,0,6,0-30,Reminder Sent,78,Pooja,No,,Jun-2024,2024,Q2,High
INV0000036,CUST0780,2025-06-04,60,2025-08-03,89793,16162.74,105955.74,Software,Direct,Paid,0,56,31-60,Escalated,54,Amit,No,,Jun-2025,2025,Q2,Medium
INV0000037,CUST0012,2025-10-09,15,2025-10-24,30137,5424.66,35561.66,Electronics,Online,Unpaid,35561.66,220,90+,Legal Review,51,Karan,No,2026-06-21,Oct-2025,2025,Q4,Low
INV0000038,CUST0191,2026-03-16,45,2026-04-30,253324,45598.32,298922.32,Office Supplies,Direct,Paid,0,3,0-30,Reminder Sent,31,Amit,No,,Mar-2026,2026,Q1,High
INV0000039,CUST0887,2025-02-12,15,2025-02-27,236258,42526.44,278784.44,Office Supplies,Corporate,Paid,0,10,0-30,Reminder Sent,51,Sneha,No,,Feb-2025,2025,Q1,High
INV0000040,CUST0480,2026-01-10,45,2026-02-24,236965,42653.7,279618.7,Industrial Goods,Corporate,Paid,0,0,0-30,Closed,29,Amit,No,,Jan-2026,2026,Q1,High
INV0000041,CUST0905,2025-10-09,30,2025-11-08,256184,46113.12,302297.12,Consumer Goods,Distributor,Unpaid,302297.12,205,90+,Legal Review,31,Pooja,No,2026-06-07,Oct-2025,2025,Q4,High
INV0000042,CUST0026,2024-03-12,45,2024-04-26,122118,21981.24,144099.24,Software,Online,Paid,0,0,0-30,Closed,49,Rohit,No,,Mar-2024,2024,Q1,Medium
INV0000043,CUST0253,2025-10-22,45,2025-12-06,180334,32460.12,212794.12,Office Supplies,Corporate,Paid,0,35,31-60,Escalated,13,Amit,No,,Oct-2025,2025,Q4,High
INV0000044,CUST0751,2025-07-21,45,2025-09-04,195715,35228.7,230943.7,Software,Online,Paid,0,0,0-30,Closed,92,Rohit,No,,Jul-2025,2025,Q3,High
INV0000045,CUST0986,2026-02-26,30,2026-03-28,151426,27256.68,178682.68,Consumer Goods,Online,Paid,0,14,0-30,Reminder Sent,80,Karan,No,,Feb-2026,2026,Q1,Medium
INV0000046,CUST0061,2026-03-06,60,2026-05-05,271943,48949.74,320892.74,Consumer Goods,Corporate,Paid,0,8,0-30,Reminder Sent,42,Neha,No,,Mar-2026,2026,Q1,High
INV0000047,CUST0889,2025-08-15,15,2025-08-30,33636,6054.48,39690.48,Industrial Goods,Direct,Paid,0,0,0-30,Closed,17,Karan,No,,Aug-2025,2025,Q3,Low
INV0000048,CUST0905,2026-04-07,30,2026-05-07,147511,26551.98,174062.98,Software,Direct,Unpaid,174062.98,25,0-30,Open,27,Rohit,No,2026-06-12,Apr-2026,2026,Q2,Medium
INV0000049,CUST0331,2025-08-31,30,2025-09-30,171347,30842.46,202189.46,Office Supplies,Direct,Paid,0,0,0-30,Closed,85,Neha,No,,Aug-2025,2025,Q3,High
INV0000050,CUST0876,2024-08-12,30,2024-09-11,14052,2529.36,16581.36,Industrial Goods,Corporate,Paid,0,0,0-30,Closed,48,Rohit,No,,Aug-2024,2024,Q3,Low
INV0000051,CUST0586,2024-11-19,15,2024-12-04,136192,24514.56,160706.56,Industrial Goods,Direct,Paid,0,0,0-30,Closed,59,Rohit,No,,Nov-2024,2024,Q4,Medium
INV0000052,CUST0571,2025-02-17,30,2025-03-19,276165,49709.7,325874.7,Industrial Goods,Online,Paid,0,0,0-30,Closed,62,Sneha,No,,Feb-2025,2025,Q1,High
INV0000053,CUST0410,2024-07-17,45,2024-08-31,65958,11872.44,77830.44,Electronics,Corporate,Unpaid,77830.44,639,90+,Legal Review,28,Pooja,No,2026-06-11,Jul-2024,2024,Q3,Medium
INV0000054,CUST0325,2024-11-12,30,2024-12-12,236953,42651.54,279604.54,Software,Distributor,Paid,0,0,0-30,Closed,94,Sneha,No,,Nov-2024,2024,Q4,High
INV0000055,CUST0710,2024-09-06,15,2024-09-21,180450,32481,212931,Office Supplies,Direct,Paid,0,8,0-30,Reminder Sent,48,Karan,No,,Sep-2024,2024,Q3,High
INV0000056,CUST0513,2025-01-30,45,2025-03-16,290277,52249.86,342526.86,Software,Distributor,Paid,0,0,0-30,Closed,69,Neha,No,,Jan-2025,2025,Q1,High
INV0000057,CUST0407,2024-01-18,30,2024-02-17,257154,46287.72,303441.72,Electronics,Online,Paid,0,14,0-30,Reminder Sent,67,Sneha,No,,Jan-2024,2024,Q1,High
INV0000058,CUST0755,2025-07-30,15,2025-08-14,277260,49906.8,327166.8,Consumer Goods,Corporate,Paid,0,0,0-30,Closed,44,Sneha,No,,Jul-2025,2025,Q3,High
INV0000059,CUST0035,2025-02-25,60,2025-04-26,235270,42348.6,277618.6,Electronics,Direct,Paid,0,0,0-30,Closed,20,Rohit,No,,Feb-2025,2025,Q1,High
INV0000060,CUST0807,2025-02-22,30,2025-03-24,188974,34015.32,222989.32,Office Supplies,Direct,Paid,0,11,0-30,Reminder Sent,74,Pooja,No,,Feb-2025,2025,Q1,High
INV0000061,CUST0681,2026-03-17,15,2026-04-01,119888,21579.84,141467.84,Electronics,Distributor,Paid,0,0,0-30,Closed,29,Rohit,No,,Mar-2026,2026,Q1,Medium
INV0000062,CUST0012,2024-01-05,60,2024-03-05,284787,51261.66,336048.66,Industrial Goods,Online,Paid,0,5,0-30,Reminder Sent,38,Karan,No,,Jan-2024,2024,Q1,High
INV0000063,CUST0787,2024-03-14,60,2024-05-13,108987,19617.66,128604.66,Consumer Goods,Corporate,Paid,0,0,0-30,Closed,21,Karan,No,,Mar-2024,2024,Q1,Medium
INV0000064,CUST0728,2024-05-24,15,2024-06-08,292168,52590.24,344758.24,Software,Online,Paid,0,6,0-30,Reminder Sent,50,Amit,No,,May-2024,2024,Q2,High
INV0000065,CUST0155,2025-05-28,60,2025-07-27,140937,25368.66,166305.66,Software,Online,Paid,0,32,31-60,Escalated,85,Rohit,No,,May-2025,2025,Q2,Medium
INV0000066,CUST0778,2026-04-30,15,2026-05-15,112474,20245.32,132719.32,Electronics,Distributor,Paid,0,0,0-30,Closed,84,Rohit,No,,Apr-2026,2026,Q2,Medium
INV0000067,CUST0831,2024-11-27,60,2025-01-26,248787,44781.66,293568.66,Electronics,Direct,Paid,0,8,0-30,Reminder Sent,67,Karan,No,,Nov-2024,2024,Q4,High
INV0000068,CUST0782,2025-09-03,45,2025-10-18,156784,28221.12,185005.12,Consumer Goods,Online,Unpaid,185005.12,226,90+,Legal Review,81,Neha,No,2026-06-18,Sep-2025,2025,Q3,Medium
INV0000069,CUST0349,2026-03-09,15,2026-03-24,201762,36317.16,238079.16,Office Supplies,Online,Paid,0,6,0-30,Reminder Sent,44,Neha,No,,Mar-2026,2026,Q1,High
INV0000070,CUST0118,2025-11-10,15,2025-11-25,195276,35149.68,230425.68,Medical Supplies,Distributor,Paid,0,4,0-30,Reminder Sent,23,Sneha,No,,Nov-2025,2025,Q4,High
INV0000071,CUST0758,2024-10-11,15,2024-10-26,210568,37902.24,248470.24,Medical Supplies,Corporate,Paid,0,41,31-60,Escalated,46,Sneha,No,,Oct-2024,2024,Q4,High
INV0000072,CUST0649,2025-11-08,45,2025-12-23,144473,26005.14,170478.14,Industrial Goods,Distributor,Paid,0,0,0-30,Closed,49,Pooja,No,,Nov-2025,2025,Q4,Medium
INV0000073,CUST0301,2025-10-28,60,2025-12-27,237983,42836.94,280819.94,Software,Online,Paid,0,0,0-30,Closed,77,Sneha,No,,Oct-2025,2025,Q4,High
INV0000074,CUST0733,2024-10-27,60,2024-12-26,57396,10331.28,67727.28,Electronics,Direct,Paid,0,0,0-30,Closed,55,Neha,No,,Oct-2024,2024,Q4,Low
INV0000075,CUST0347,2024-07-29,15,2024-08-13,122133,21983.94,144116.94,Office Supplies,Direct,Paid,0,0,0-30,Closed,90,Rohit,No,,Jul-2024,2024,Q3,Medium
INV0000076,CUST0619,2024-05-03,60,2024-07-02,41611,7489.98,49100.98,Office Supplies,Distributor,Paid,0,0,0-30,Closed,88,Neha,No,,May-2024,2024,Q2,Low
INV0000077,CUST0398,2025-04-09,30,2025-05-09,230060,41410.8,271470.8,Software,Corporate,Paid,0,0,0-30,Closed,45,Rohit,No,,Apr-2025,2025,Q2,High
INV0000078,CUST0648,2024-10-19,15,2024-11-03,177526,31954.68,209480.68,Medical Supplies,Corporate,Paid,0,0,0-30,Closed,22,Rohit,No,,Oct-2024,2024,Q4,High
INV0000079,CUST0311,2024-02-13,60,2024-04-13,131624,23692.32,155316.32,Software,Online,Paid,0,0,0-30,Closed,32,Neha,No,,Feb-2024,2024,Q1,Medium
INV0000080,CUST0416,2024-06-28,60,2024-08-27,218677,39361.86,258038.86,Electronics,Direct,Paid,0,0,0-30,Closed,75,Karan,No,,Jun-2024,2024,Q2,High
INV0000081,CUST0647,2025-03-22,30,2025-04-21,19884,3579.12,23463.12,Consumer Goods,Corporate,Paid,0,0,0-30,Closed,81,Amit,No,,Mar-2025,2025,Q1,Low
INV0000082,CUST0651,2025-05-06,30,2025-06-05,62049,11168.82,73217.82,Industrial Goods,Corporate,Paid,0,52,31-60,Escalated,70,Amit,No,,May-2025,2025,Q2,Low
INV0000083,CUST0274,2024-01-03,60,2024-03-03,11527,2074.86,13601.86,Electronics,Distributor,Paid,0,0,0-30,Closed,14,Neha,No,,Jan-2024,2024,Q1,Low
INV0000084,CUST0638,2025-11-27,45,2026-01-11,27462,4943.16,32405.16,Medical Supplies,Direct,Paid,0,0,0-30,Closed,32,Rohit,No,,Nov-2025,2025,Q4,Low
INV0000085,CUST0646,2025-06-08,60,2025-08-07,265562,47801.16,313363.16,Consumer Goods,Online,Paid,0,0,0-30,Closed,42,Pooja,No,,Jun-2025,2025,Q2,High
INV0000086,CUST0768,2025-02-25,60,2025-04-26,11744,2113.92,13857.92,Consumer Goods,Online,Paid,0,0,0-30,Closed,60,Karan,No,,Feb-2025,2025,Q1,Low
INV0000087,CUST0782,2025-02-23,30,2025-03-25,134715,24248.7,158963.7,Office Supplies,Distributor,Paid,0,0,0-30,Closed,75,Amit,No,,Feb-2025,2025,Q1,Medium
INV0000088,CUST0056,2024-12-25,15,2025-01-09,196510,35371.8,231881.8,Software,Distributor,Paid,0,0,0-30,Closed,26,Neha,No,,Dec-2024,2024,Q4,High
INV0000089,CUST0647,2025-04-16,45,2025-05-31,18816,3386.88,22202.88,Industrial Goods,Direct,Paid,0,2,0-30,Reminder Sent,72,Pooja,No,,Apr-2025,2025,Q2,Low
INV0000090,CUST0154,2024-10-21,15,2024-11-05,49557,8920.26,58477.26,Consumer Goods,Online,Paid,0,35,31-60,Escalated,72,Pooja,No,,Oct-2024,2024,Q4,Low
INV0000091,CUST0855,2024-10-19,30,2024-11-18,81133,14603.94,95736.94,Medical Supplies,Distributor,Paid,0,0,0-30,Closed,39,Neha,No,,Oct-2024,2024,Q4,Medium
INV0000092,CUST0765,2025-03-24,45,2025-05-08,277499,49949.82,327448.82,Electronics,Direct,Paid,0,0,0-30,Closed,79,Rohit,No,,Mar-2025,2025,Q1,High
INV0000093,CUST0022,2024-11-24,30,2024-12-24,266085,47895.3,313980.3,Electronics,Corporate,Paid,0,0,0-30,Closed,57,Rohit,No,,Nov-2024,2024,Q4,High
INV0000094,CUST0710,2024-10-25,45,2024-12-09,92624,16672.32,109296.32,Medical Supplies,Direct,Paid,0,4,0-30,Reminder Sent,54,Amit,No,,Oct-2024,2024,Q4,Medium
INV0000095,CUST0272,2025-06-29,30,2025-07-29,102030,18365.4,120395.4,Office Supplies,Online,Paid,0,14,0-30,Reminder Sent,75,Neha,No,,Jun-2025,2025,Q2,Medium
INV0000096,CUST0927,2026-04-25,30,2026-05-25,246346,44342.28,290688.28,Medical Supplies,Online,Paid,0,0,0-30,Closed,69,Rohit,No,,Apr-2026,2026,Q2,High
INV0000097,CUST0114,2026-03-06,30,2026-04-05,135710,24427.8,160137.8,Consumer Goods,Online,Paid,0,0,0-30,Closed,63,Pooja,No,,Mar-2026,2026,Q1,Medium
INV0000098,CUST0456,2024-11-29,45,2025-01-13,286959,51652.62,338611.62,Office Supplies,Distributor,Paid,0,9,0-30,Reminder Sent,40,Sneha,No,,Nov-2024,2024,Q4,High
INV0000099,CUST0148,2025-05-24,60,2025-07-23,223048,40148.64,263196.64,Medical Supplies,Distributor,Paid,0,0,0-30,Closed,53,Pooja,No,,May-2025,2025,Q2,High
INV0000100,CUST0865,2024-07-08,60,2024-09-06,171684,30903.12,202587.12,Office Supplies,Distributor,Paid,0,13,0-30,Reminder Sent,21,Karan,No,,Jul-2024,2024,Q3,High
INV0000101,CUST0313,2025-06-18,15,2025-07-03,61036,10986.48,72022.48,Electronics,Distributor,Unpaid,72022.48,333,90+,Legal Review,71,Rohit,No,2026-06-20,Jun-2025,2025,Q2,Low
INV0000102,CUST0548,2024-02-19,45,2024-04-04,232356,41824.08,274180.08,Consumer Goods,Direct,Paid,0,5,0-30,Reminder Sent,84,Pooja,No,,Feb-2024,2024,Q1,High
INV0000103,CUST0832,2025-09-15,60,2025-11-14,252107,45379.26,297486.26,Medical Supplies,Online,Paid,0,0,0-30,Closed,72,Pooja,No,,Sep-2025,2025,Q3,High
INV0000104,CUST0234,2025-09-07,45,2025-10-22,110949,19970.82,130919.82,Office Supplies,Corporate,Paid,0,0,0-30,Closed,39,Karan,No,,Sep-2025,2025,Q3,Medium
INV0000105,CUST0704,2025-06-16,30,2025-07-16,135411,24373.98,159784.98,Software,Direct,Paid,0,53,31-60,Escalated,42,Sneha,No,,Jun-2025,2025,Q2,Medium
INV0000106,CUST0434,2024-07-13,30,2024-08-12,176644,31795.92,208439.92,Industrial Goods,Corporate,Paid,0,45,31-60,Escalated,31,Rohit,No,,Jul-2024,2024,Q3,High
INV0000107,CUST0913,2025-05-27,60,2025-07-26,287104,51678.72,338782.72,Industrial Goods,Online,Unpaid,338782.72,310,90+,Legal Review,56,Rohit,No,2026-06-12,May-2025,2025,Q2,High
INV0000108,CUST0454,2025-01-14,15,2025-01-29,34320,6177.6,40497.6,Medical Supplies,Distributor,Paid,0,0,0-30,Closed,58,Pooja,No,,Jan-2025,2025,Q1,Low
INV0000109,CUST0120,2024-10-24,15,2024-11-08,242509,43651.62,286160.62,Electronics,Online,Paid,0,52,31-60,Escalated,8,Pooja,No,,Oct-2024,2024,Q4,High
INV0000110,CUST0712,2025-01-08,45,2025-02-22,204769,36858.42,241627.42,Industrial Goods,Online,Unpaid,241627.42,464,90+,Legal Review,67,Karan,No,2026-06-19,Jan-2025,2025,Q1,High
INV0000111,CUST0094,2026-04-23,45,2026-06-07,222075,39973.5,262048.5,Electronics,Online,Paid,0,0,0-30,Closed,48,Karan,No,,Apr-2026,2026,Q2,High
INV0000112,CUST0019,2024-02-23,15,2024-03-09,230950,41571,272521,Office Supplies,Distributor,Paid,0,7,0-30,Reminder Sent,21,Pooja,No,,Feb-2024,2024,Q1,High
INV0000113,CUST0561,2024-10-16,45,2024-11-30,21637,3894.66,25531.66,Consumer Goods,Corporate,Paid,0,44,31-60,Escalated,75,Sneha,No,,Oct-2024,2024,Q4,Low
INV0000114,CUST0224,2024-01-15,60,2024-03-15,75744,13633.92,89377.92,Industrial Goods,Online,Paid,0,2,0-30,Reminder Sent,73,Amit,No,,Jan-2024,2024,Q1,Medium
INV0000115,CUST0774,2025-09-30,45,2025-11-14,66513,11972.34,78485.34,Industrial Goods,Corporate,Paid,0,0,0-30,Closed,30,Karan,No,,Sep-2025,2025,Q3,Medium
INV0000116,CUST0254,2025-10-23,30,2025-11-22,262526,47254.68,309780.68,Medical Supplies,Distributor,Paid,0,0,0-30,Closed,60,Rohit,No,,Oct-2025,2025,Q4,High
INV0000117,CUST0468,2025-09-22,60,2025-11-21,35703,6426.54,42129.54,Electronics,Corporate,Paid,0,0,0-30,Closed,32,Sneha,No,,Sep-2025,2025,Q3,Low
INV0000118,CUST0681,2026-02-09,30,2026-03-11,185614,33410.52,219024.52,Electronics,Distributor,Paid,0,0,0-30,Closed,34,Karan,No,,Feb-2026,2026,Q1,High
INV0000119,CUST0929,2025-01-17,30,2025-02-16,241282,43430.76,284712.76,Office Supplies,Distributor,Paid,0,1,0-30,Reminder Sent,75,Amit,No,,Jan-2025,2025,Q1,High
INV0000120,CUST0288,2024-09-29,45,2024-11-13,227677,40981.86,268658.86,Electronics,Direct,Paid,0,33,31-60,Escalated,63,Karan,No,,Sep-2024,2024,Q3,High
INV0000121,CUST0178,2025-02-04,60,2025-04-05,95896,17261.28,113157.28,Software,Direct,Paid,0,0,0-30,Closed,70,Rohit,No,,Feb-2025,2025,Q1,Medium
INV0000122,CUST0093,2026-02-17,45,2026-04-03,11214,2018.52,13232.52,Electronics,Direct,Paid,0,42,31-60,Escalated,46,Rohit,No,,Feb-2026,2026,Q1,Low
INV0000123,CUST0770,2026-01-31,30,2026-03-02,161039,28987.02,190026.02,Industrial Goods,Corporate,Paid,0,0,0-30,Closed,41,Sneha,No,,Jan-2026,2026,Q1,Medium
INV0000124,CUST0738,2025-12-03,30,2026-01-02,144428,25997.04,170425.04,Industrial Goods,Online,Unpaid,170425.04,150,90+,Legal Review,36,Sneha,No,2026-06-18,Dec-2025,2025,Q4,Medium
INV0000125,CUST0331,2025-11-08,60,2026-01-07,117907,21223.26,139130.26,Industrial Goods,Distributor,Paid,0,15,0-30,Reminder Sent,84,Rohit,No,,Nov-2025,2025,Q4,Medium
INV0000126,CUST0961,2025-06-16,15,2025-07-01,299887,53979.66,353866.66,Software,Distributor,Paid,0,0,0-30,Closed,45,Sneha,No,,Jun-2025,2025,Q2,High
INV0000127,CUST0541,2024-01-09,30,2024-02-08,235021,42303.78,277324.78,Software,Distributor,Paid,0,0,0-30,Closed,72,Amit,Yes,,Jan-2024,2024,Q1,High
INV0000128,CUST0370,2024-03-04,60,2024-05-03,13837,2490.66,16327.66,Industrial Goods,Direct,Paid,0,7,0-30,Reminder Sent,35,Neha,No,,Mar-2024,2024,Q1,Low
INV0000129,CUST0065,2025-06-17,15,2025-07-02,235343,42361.74,277704.74,Electronics,Direct,Paid,0,10,0-30,Reminder Sent,55,Pooja,No,,Jun-2025,2025,Q2,High
INV0000130,CUST0048,2024-04-13,45,2024-05-28,227034,40866.12,267900.12,Consumer Goods,Distributor,Paid,0,0,0-30,Closed,58,Neha,No,,Apr-2024,2024,Q2,High
INV0000131,CUST0180,2025-12-10,60,2026-02-08,172861,31114.98,203975.98,Software,Corporate,Paid,0,0,0-30,Closed,26,Neha,No,,Dec-2025,2025,Q4,High
INV0000132,CUST0063,2026-03-17,15,2026-04-01,269807,48565.26,318372.26,Medical Supplies,Corporate,Paid,0,2,0-30,Reminder Sent,64,Sneha,No,,Mar-2026,2026,Q1,High
INV0000133,CUST0446,2025-11-26,15,2025-12-11,20582,3704.76,24286.76,Medical Supplies,Online,Paid,0,0,0-30,Closed,55,Sneha,No,,Nov-2025,2025,Q4,Low
INV0000134,CUST0872,2025-05-19,30,2025-06-18,118731,21371.58,140102.58,Office Supplies,Online,Paid,0,9,0-30,Reminder Sent,22,Amit,No,,May-2025,2025,Q2,Medium
INV0000135,CUST0179,2024-07-17,45,2024-08-31,258576,46543.68,305119.68,Software,Direct,Paid,0,0,0-30,Closed,32,Pooja,No,,Jul-2024,2024,Q3,High
INV0000136,CUST0932,2024-02-23,15,2024-03-09,249918,44985.24,294903.24,Consumer Goods,Corporate,Paid,0,0,0-30,Closed,62,Karan,No,,Feb-2024,2024,Q1,High
INV0000137,CUST0650,2025-05-22,30,2025-06-21,132660,23878.8,156538.8,Medical Supplies,Distributor,Paid,0,6,0-30,Reminder Sent,49,Rohit,No,,May-2025,2025,Q2,Medium
INV0000138,CUST0660,2024-08-10,30,2024-09-09,245916,44264.88,290180.88,Software,Distributor,Paid,0,0,0-30,Closed,49,Neha,No,,Aug-2024,2024,Q3,High
INV0000139,CUST0236,2026-03-18,15,2026-04-02,46925,8446.5,55371.5,Consumer Goods,Corporate,Paid,0,0,0-30,Closed,24,Pooja,No,,Mar-2026,2026,Q1,Low
INV0000140,CUST0163,2024-04-29,45,2024-06-13,188222,33879.96,222101.96,Software,Corporate,Paid,0,0,0-30,Closed,60,Amit,No,,Apr-2024,2024,Q2,High
INV0000141,CUST0484,2025-02-14,60,2025-04-15,156559,28180.62,184739.62,Industrial Goods,Distributor,Paid,0,0,0-30,Closed,16,Sneha,No,,Feb-2025,2025,Q1,Medium
INV0000142,CUST0938,2025-04-27,60,2025-06-26,147728,26591.04,174319.04,Software,Direct,Paid,0,0,0-30,Closed,60,Rohit,No,,Apr-2025,2025,Q2,Medium
