Payment_ID,Invoice_ID,Payment_Date,Amount_Paid,Payment_Method,Delay_Days,Write_Off_Flag
PAY0000146,INV0000146,2025-10-07,347643.34,Bank Transfer,14,No
PAY0000147,INV0000147,2024-12-18,81836.54,Bank Transfer,0,No
PAY0000148,INV0000148,2024-06-29,150150.28,UPI,7,No
PAY0000149,INV0000149,2026-05-29,55667.68,Cheque,44,No
PAY0000150,INV0000150,2024-11-29,288304.68,Cheque,0,No
PAY0000151,INV0000151,2024-06-08,71956.4,Cheque,49,No
PAY0000152,INV0000152,2025-01-19,45750.96,Cheque,14,No
PAY0000153,INV0000153,2025-12-16,144443.8,RTGS,13,No
PAY0000154,INV0000154,2026-01-13,184405.68,RTGS,0,No
PAY0000155,INV0000155,2026-01-27,237622.5,UPI,0,No
PAY0000156,INV0000156,2026-01-14,54447.56,Bank Transfer,0,No
PAY0000157,INV0000157,2024-07-29,153661.96,NEFT,3,No
PAY0000158,INV0000158,,0,,336,No
PAY0000159,INV0000159,2024-10-28,228578.98,Bank Transfer,49,No
PAY0000160,INV0000160,2026-06-20,69325,Cheque,33,No
PAY0000161,INV0000161,2025-02-09,84982.42,RTGS,29,No
PAY0000162,INV0000162,2025-11-08,294007.62,UPI,13,No
PAY0000163,INV0000163,2024-05-16,310629.1,NEFT,0,No
PAY0000164,INV0000164,2024-02-13,139545.62,NEFT,0,No
PAY0000165,INV0000165,2024-10-26,312793.22,Cheque,0,No
PAY0000166,INV0000166,2024-02-22,140646.56,NEFT,0,No
PAY0000167,INV0000167,2026-05-31,245182.76,NEFT,0,No
PAY0000168,INV0000168,2025-10-11,16727.68,Bank Transfer,57,No
PAY0000169,INV0000169,2025-06-23,271605.32,UPI,0,No
PAY0000170,INV0000170,2024-08-21,97177.72,Cheque,1,No
PAY0000171,INV0000171,2024-12-15,187172.78,Cheque,34,No
PAY0000172,INV0000172,2024-07-17,322537.66,UPI,0,No
PAY0000173,INV0000173,2026-05-17,52320.02,Bank Transfer,0,No
PAY0000174,INV0000174,2025-09-04,352064.8,Cheque,0,No
PAY0000175,INV0000175,2025-07-05,275404.92,Cheque,1,No
PAY0000176,INV0000176,2025-03-16,48175.86,Cheque,0,No
PAY0000177,INV0000177,2024-12-13,123016.18,Bank Transfer,4,No
PAY0000178,INV0000178,2025-02-02,172146.66,RTGS,0,No
PAY0000179,INV0000179,2024-08-11,350013.96,RTGS,10,No
PAY0000180,INV0000180,2024-08-02,230798.56,NEFT,39,No
PAY0000181,INV0000181,2025-02-09,76219.74,RTGS,0,No
PAY0000182,INV0000182,2025-07-01,14052.62,NEFT,3,No
PAY0000183,INV0000183,2026-03-31,183010.92,RTGS,1,No
PAY0000184,INV0000184,,0,,755,No
PAY0000185,INV0000185,2026-04-22,13590.06,RTGS,2,No
PAY0000186,INV0000186,2025-09-23,69335.62,Cheque,38,No
PAY0000187,INV0000187,2025-08-18,22082.52,UPI,0,No
PAY0000188,INV0000188,2024-06-23,242982.06,UPI,39,No
PAY0000189,INV0000189,,0,,224,No
PAY0000190,INV0000190,2025-09-23,348643.98,RTGS,0,No
PAY0000191,INV0000191,2024-04-12,273553.5,NEFT,0,No
PAY0000192,INV0000192,2025-01-05,226930.52,NEFT,12,No
PAY0000193,INV0000193,2024-11-28,118487.34,UPI,0,No
PAY0000194,INV0000194,2024-07-28,179711.64,NEFT,0,No
PAY0000195,INV0000195,2025-02-26,26371.82,RTGS,12,No
PAY0000196,INV0000196,2026-04-10,40849.24,UPI,13,No
PAY0000197,INV0000197,2025-05-22,41851.06,Bank Transfer,34,No
PAY0000198,INV0000198,2024-10-28,42201.52,Cheque,0,No
PAY0000199,INV0000199,2025-02-05,295125.08,Bank Transfer,0,No
PAY0000200,INV0000200,2025-07-09,239451.5,Bank Transfer,16,No
PAY0000201,INV0000201,2025-03-29,231662.32,Bank Transfer,0,No
PAY0000202,INV0000202,2025-08-25,59375.24,Cheque,9,No
PAY0000203,INV0000203,2024-04-22,343394.16,UPI,0,No
PAY0000204,INV0000204,,0,,442,No
PAY0000205,INV0000205,2024-08-07,280153.24,RTGS,0,No
PAY0000206,INV0000206,2024-07-14,351747.38,NEFT,0,No
PAY0000207,INV0000207,2024-10-15,38928.2,NEFT,0,No
PAY0000208,INV0000208,2026-01-23,294795.86,Bank Transfer,15,No
PAY0000209,INV0000209,2024-04-18,242520.68,UPI,0,No
PAY0000210,INV0000210,,0,,726,No
PAY0000211,INV0000211,2024-10-07,198283.66,Bank Transfer,0,No
PAY0000212,INV0000212,2024-03-02,12821.88,NEFT,10,No
PAY0000213,INV0000213,2026-02-20,244055.86,Bank Transfer,0,No
PAY0000214,INV0000214,2024-08-28,69733.28,Cheque,17,No
PAY0000215,INV0000215,2024-11-18,36965.86,RTGS,0,No
PAY0000216,INV0000216,2024-02-26,181692.86,Cheque,11,No
PAY0000217,INV0000217,,0,,277,No
PAY0000218,INV0000218,2024-08-03,113505.38,UPI,0,No
PAY0000219,INV0000219,2024-11-02,117151.58,RTGS,0,No
PAY0000220,INV0000220,2024-07-04,350500.12,Cheque,9,No
PAY0000221,INV0000221,,0,,538,No
PAY0000222,INV0000222,2024-04-05,199332.68,Bank Transfer,6,No
PAY0000223,INV0000223,2026-03-30,348712.42,NEFT,31,No
PAY0000224,INV0000224,2026-03-12,140631.22,NEFT,13,No
PAY0000225,INV0000225,2025-10-24,185507.8,UPI,0,No
PAY0000226,INV0000226,2025-03-20,89387.36,NEFT,0,No
PAY0000227,INV0000227,2026-01-11,31641.7,Bank Transfer,0,No
PAY0000228,INV0000228,2025-05-28,330985.28,UPI,5,No
PAY0000229,INV0000229,,0,,24,No
PAY0000230,INV0000230,2025-11-17,128327.36,RTGS,0,No
PAY0000231,INV0000231,2025-01-02,126166.78,Bank Transfer,0,No
PAY0000232,INV0000232,2026-01-04,276202.6,NEFT,12,No
PAY0000233,INV0000233,2026-02-19,60454.94,Cheque,0,No
PAY0000234,INV0000234,2026-01-21,174832.34,RTGS,0,No
PAY0000235,INV0000235,2024-10-21,92025.84,Bank Transfer,0,No
PAY0000236,INV0000236,2026-04-17,59055.46,RTGS,0,No
PAY0000237,INV0000237,2025-11-13,198513.76,NEFT,9,No
PAY0000238,INV0000238,2026-02-06,205107.6,RTGS,0,No
PAY0000239,INV0000239,2026-04-26,219338.4,RTGS,0,No
PAY0000240,INV0000240,2024-08-28,33071.86,Cheque,11,No
PAY0000241,INV0000241,2026-03-15,135022.68,UPI,3,No
PAY0000242,INV0000242,2024-05-26,220134.9,RTGS,7,No
PAY0000243,INV0000243,2026-06-25,195059.9,NEFT,0,No
PAY0000244,INV0000244,2025-08-17,282774.02,Bank Transfer,0,No
PAY0000245,INV0000245,2025-12-05,267626.36,Cheque,0,No
PAY0000246,INV0000246,2026-02-28,92606.4,NEFT,0,No
PAY0000247,INV0000247,2024-10-26,286082.74,Bank Transfer,1,No
PAY0000248,INV0000248,2024-10-18,63024.98,Cheque,53,No
PAY0000249,INV0000249,2025-10-11,30616.28,UPI,0,No
PAY0000250,INV0000250,2025-04-29,67077.1,Cheque,14,No
PAY0000251,INV0000251,2025-07-25,215567.12,NEFT,0,No
PAY0000252,INV0000252,2025-01-21,132319.3,Cheque,10,No
PAY0000253,INV0000253,2024-11-30,107934.6,Cheque,0,No
PAY0000254,INV0000254,2026-02-22,238335.22,UPI,47,No
PAY0000255,INV0000255,2024-04-20,256292.46,Bank Transfer,0,No
PAY0000256,INV0000256,,0,,853,No
PAY0000257,INV0000257,,0,,275,No
PAY0000258,INV0000258,2025-05-09,115155.02,NEFT,48,No
PAY0000259,INV0000259,2024-12-19,337188.54,Cheque,15,No
PAY0000260,INV0000260,2025-02-19,173980.38,RTGS,0,No
PAY0000261,INV0000261,2026-04-02,247877.88,RTGS,0,No
PAY0000262,INV0000262,2024-09-10,298773.64,UPI,0,No
PAY0000263,INV0000263,2026-04-26,192841.5,Bank Transfer,0,No
PAY0000264,INV0000264,2025-04-17,89579.7,Bank Transfer,0,No
PAY0000265,INV0000265,2024-12-02,253147.76,RTGS,0,No
PAY0000266,INV0000266,2024-06-05,41235.1,UPI,0,No
PAY0000267,INV0000267,2024-03-10,121562.42,NEFT,0,No
PAY0000268,INV0000268,2026-04-26,110642.7,Bank Transfer,0,No
PAY0000269,INV0000269,2025-03-15,336055.74,RTGS,49,No
PAY0000270,INV0000270,2025-07-10,102088.88,UPI,23,No
PAY0000271,INV0000271,2024-09-21,270693.18,UPI,0,No
PAY0000272,INV0000272,2025-12-14,165820.68,RTGS,0,No
PAY0000273,INV0000273,2024-08-26,43291.84,UPI,47,No
PAY0000274,INV0000274,2024-08-24,232778.6,Bank Transfer,0,No
PAY0000275,INV0000275,2024-12-11,290308.32,NEFT,25,No
PAY0000276,INV0000276,2025-04-05,269208.74,Cheque,14,No
PAY0000277,INV0000277,2024-05-14,68592.22,Cheque,0,No
PAY0000278,INV0000278,2025-12-02,336367.26,NEFT,0,No
PAY0000279,INV0000279,2024-03-11,194539.52,Bank Transfer,2,No
PAY0000280,INV0000280,2024-11-11,213413.62,Bank Transfer,0,No
PAY0000281,INV0000281,2024-02-02,105679.62,NEFT,0,No
PAY0000282,INV0000282,2024-04-10,245752.7,Cheque,0,No
PAY0000283,INV0000283,2026-01-01,350908.4,Cheque,0,No
PAY0000284,INV0000284,2025-09-18,222911.44,UPI,3,No
PAY0000285,INV0000285,2026-06-28,77015.06,Bank Transfer,13,No
PAY0000286,INV0000286,2025-10-26,344198.92,Cheque,41,No
PAY0000287,INV0000287,2024-02-05,85605.46,Bank Transfer,0,No
PAY0000288,INV0000288,2025-04-04,14079.76,UPI,0,No
PAY0000289,INV0000289,2024-10-31,233157.38,NEFT,0,No
PAY0000290,INV0000290,2025-08-25,163937.4,NEFT,1,No
PAY0000291,INV0000291,2026-04-05,328876.62,Cheque,39,No
PAY0000292,INV0000292,2025-10-09,145903.46,UPI,0,No
PAY0000293,INV0000293,2026-03-17,350653.52,NEFT,12,No
PAY0000294,INV0000294,2025-12-09,194570.2,NEFT,6,No
PAY0000295,INV0000295,2025-03-25,46968.72,Cheque,40,No
PAY0000296,INV0000296,2024-10-23,353736.86,Bank Transfer,0,No
PAY0000297,INV0000297,2025-10-12,121797.24,Cheque,12,No
PAY0000298,INV0000298,2026-05-01,56015.78,RTGS,0,No
PAY0000299,INV0000299,2025-10-24,176030.04,NEFT,0,No
PAY0000300,INV0000300,2025-03-16,48965.28,Cheque,15,No
PAY0000301,INV0000301,2025-09-18,117496.14,NEFT,0,No
PAY0000302,INV0000302,2024-06-26,323577.24,Bank Transfer,0,No
PAY0000303,INV0000303,2024-03-02,85371.82,Cheque,12,No
PAY0000304,INV0000304,2024-07-27,211964.58,RTGS,0,No
PAY0000305,INV0000305,2024-06-16,134227.36,Bank Transfer,0,No
PAY0000306,INV0000306,2025-07-19,313528.36,Cheque,0,No
PAY0000307,INV0000307,2025-01-05,234252.42,UPI,0,No
PAY0000308,INV0000308,2024-06-13,51866.9,RTGS,5,No
PAY0000309,INV0000309,2025-07-04,299557.16,UPI,0,No
PAY0000310,INV0000310,,0,,560,No
PAY0000311,INV0000311,2024-03-11,113375.58,Bank Transfer,0,No
PAY0000312,INV0000312,2024-02-13,60976.5,Cheque,0,No
PAY0000313,INV0000313,2024-09-23,65104.14,NEFT,10,No
PAY0000314,INV0000314,2025-08-09,116149.76,Bank Transfer,0,No
PAY0000315,INV0000315,2025-12-04,214698.64,RTGS,0,No
PAY0000316,INV0000316,2025-04-14,246263.64,UPI,2,No
PAY0000317,INV0000317,2024-10-22,223100.24,NEFT,0,No
PAY0000318,INV0000318,2025-11-24,298398.4,NEFT,0,No
PAY0000319,INV0000319,2025-07-19,141024.16,Cheque,0,No
PAY0000320,INV0000320,2025-09-27,162379.8,RTGS,1,No
PAY0000321,INV0000321,2024-07-19,349811,Bank Transfer,0,No
PAY0000322,INV0000322,2026-01-27,166870.88,UPI,9,No
PAY0000323,INV0000323,2025-10-08,236545.16,RTGS,0,No
PAY0000324,INV0000324,2024-02-28,119089.14,UPI,2,No
PAY0000325,INV0000325,2026-02-22,249073.22,NEFT,0,No
PAY0000326,INV0000326,,0,,687,No
PAY0000327,INV0000327,2025-05-17,114444.66,Bank Transfer,0,No
PAY0000328,INV0000328,2025-09-13,253531.26,Cheque,0,No
PAY0000329,INV0000329,2024-02-19,34481.96,UPI,0,No
PAY0000330,INV0000330,2026-01-04,153300.88,RTGS,0,No
PAY0000331,INV0000331,2025-12-30,30466.42,Bank Transfer,9,No
PAY0000332,INV0000332,2024-10-24,25577.68,UPI,0,No
PAY0000333,INV0000333,2024-10-11,96531.08,Cheque,46,No
PAY0000334,INV0000334,2025-09-08,247529.78,Bank Transfer,15,No
PAY0000335,INV0000335,2025-04-01,17252.78,RTGS,8,No
PAY0000336,INV0000336,2026-06-24,221154.42,Bank Transfer,0,No
PAY0000337,INV0000337,2024-03-04,286563,Bank Transfer,0,No
PAY0000338,INV0000338,2024-05-19,61047.3,NEFT,0,No
PAY0000339,INV0000339,2024-08-09,114552.04,NEFT,15,No
PAY0000340,INV0000340,2025-11-16,289701.8,RTGS,0,No
PAY0000341,INV0000341,2025-02-03,94738.66,Cheque,6,No
PAY0000342,INV0000342,2025-10-03,42454.04,UPI,0,No
PAY0000343,INV0000343,2024-07-19,342305.02,UPI,0,No
PAY0000344,INV0000344,2026-04-11,233249.42,UPI,0,No
PAY0000345,INV0000345,2025-08-30,41689.4,Cheque,0,No
PAY0000346,INV0000346,2024-05-27,187683.72,RTGS,0,No
PAY0000347,INV0000347,2024-04-19,77429.24,Bank Transfer,20,No
PAY0000348,INV0000348,2025-09-16,318699.12,Bank Transfer,0,No
PAY0000349,INV0000349,,0,,403,No
PAY0000350,INV0000350,2024-06-05,139225.84,UPI,44,No
PAY0000351,INV0000351,2025-11-12,132486.86,Bank Transfer,0,No
PAY0000352,INV0000352,2026-05-03,246304.94,UPI,13,No
PAY0000353,INV0000353,2026-04-29,172336.64,RTGS,0,No
PAY0000354,INV0000354,2026-01-09,235418.26,NEFT,15,No
PAY0000355,INV0000355,2024-07-04,147142.46,NEFT,1,No
PAY0000356,INV0000356,2024-10-07,209519.62,RTGS,13,No
PAY0000357,INV0000357,2025-07-06,76030.94,UPI,0,No
PAY0000358,INV0000358,2025-07-29,105975.8,Bank Transfer,40,No
PAY0000359,INV0000359,2024-06-28,279269.42,Bank Transfer,0,No
PAY0000360,INV0000360,2025-08-08,315332.58,Bank Transfer,0,No
PAY0000361,INV0000361,2025-02-24,268885.42,RTGS,36,No
PAY0000362,INV0000362,2025-02-11,44067.1,Bank Transfer,0,No
PAY0000363,INV0000363,2024-02-29,299199.62,UPI,7,No
PAY0000364,INV0000364,2025-08-11,64874.04,RTGS,12,No
PAY0000365,INV0000365,2026-04-26,172510.1,NEFT,0,No
PAY0000366,INV0000366,,0,,407,No
PAY0000367,INV0000367,2024-04-17,98133.52,Bank Transfer,13,No
PAY0000368,INV0000368,2026-03-05,324105.88,RTGS,11,No
PAY0000369,INV0000369,2025-05-17,319464.94,UPI,0,No
PAY0000370,INV0000370,2026-03-14,212126.24,UPI,10,No
PAY0000371,INV0000371,2024-05-03,201000.02,UPI,5,No
PAY0000372,INV0000372,2024-03-17,348088.2,NEFT,60,No
PAY0000373,INV0000373,2025-03-17,12670.84,RTGS,0,No
PAY0000374,INV0000374,2026-01-07,38200.14,Bank Transfer,0,No
PAY0000375,INV0000375,,0,,72,No
PAY0000376,INV0000376,2024-09-25,291375.04,Cheque,0,No
PAY0000377,INV0000377,2024-01-26,48954.66,UPI,5,No
PAY0000378,INV0000378,2026-04-20,279452.32,UPI,0,No
PAY0000379,INV0000379,,0,,752,No
PAY0000380,INV0000380,,0,,177,No
PAY0000381,INV0000381,2025-01-06,351276.56,Bank Transfer,9,No
PAY0000382,INV0000382,2026-02-18,203322.26,UPI,0,No
PAY0000383,INV0000383,2025-03-18,161095.96,Bank Transfer,0,No
PAY0000384,INV0000384,2025-10-06,155008.34,UPI,12,No
PAY0000385,INV0000385,2025-11-15,113302.42,RTGS,0,No
PAY0000386,INV0000386,2024-12-26,84469.12,RTGS,8,No
PAY0000387,INV0000387,2025-03-13,324234.5,Bank Transfer,0,No
PAY0000388,INV0000388,2025-03-07,30532.5,UPI,0,No
PAY0000389,INV0000389,2024-08-31,60745.22,Cheque,21,No
PAY0000390,INV0000390,2024-06-16,250601.32,RTGS,12,No
PAY0000391,INV0000391,2024-06-10,99318.24,NEFT,0,No
PAY0000392,INV0000392,2025-02-05,346625,Bank Transfer,0,No
PAY0000393,INV0000393,,0,,8,No
PAY0000394,INV0000394,2024-11-23,62562.42,RTGS,0,No
PAY0000395,INV0000395,2025-07-30,63419.1,RTGS,13,No
PAY0000396,INV0000396,2026-03-30,70953.4,Bank Transfer,0,No
PAY0000397,INV0000397,2025-04-26,115907.86,UPI,0,No
PAY0000398,INV0000398,,0,,219,No
PAY0000399,INV0000399,2024-06-01,330776.42,Bank Transfer,18,No
PAY0000400,INV0000400,2026-02-20,237213.04,RTGS,0,No
PAY0000401,INV0000401,2025-07-11,317008.18,NEFT,0,No
PAY0000402,INV0000402,2026-05-22,207068.76,RTGS,0,No
PAY0000403,INV0000403,2025-11-12,299101.68,RTGS,12,No
PAY0000404,INV0000404,2025-05-19,185327.26,Bank Transfer,7,No
PAY0000405,INV0000405,2024-09-09,156550.6,Cheque,5,No
PAY0000406,INV0000406,2025-05-31,52810.9,Cheque,5,No
PAY0000407,INV0000407,2024-08-31,193969.58,UPI,12,No
PAY0000408,INV0000408,2025-02-19,155226.64,RTGS,0,No
PAY0000409,INV0000409,2025-11-09,87480.48,RTGS,6,No
PAY0000410,INV0000410,2026-01-12,41906.52,Bank Transfer,10,No
PAY0000411,INV0000411,2026-03-19,320680.34,Cheque,14,No
PAY0000412,INV0000412,2025-12-17,24676.16,RTGS,13,No
PAY0000413,INV0000413,2024-12-09,241104.68,RTGS,29,No
PAY0000414,INV0000414,2024-02-06,213117.44,Bank Transfer,0,No
PAY0000415,INV0000415,2025-03-19,141479.64,UPI,0,No
